iter	Passed	Remaining
0	151	151489
1	177	88781
2	187	62450
3	197	49108
4	207	41241
5	216	35922
6	226	32124
7	234	29112
8	244	26906
9	253	25092
10	263	23705
11	292	24109
12	311	23679
13	326	22985
14	335	22007
15	344	21189
16	353	20450
17	365	19947
18	375	19394
19	385	18882
20	394	18391
21	405	18023
22	419	17804
23	428	17427
24	438	17091
25	447	16749
26	460	16599
27	472	16393
28	482	16138
29	491	15888
30	500	15637
31	511	15463
32	531	15587
33	549	15621
34	561	15495
35	572	15333
36	584	15200
37	594	15051
38	606	14936
39	617	14813
40	626	14657
41	637	14529
42	647	14419
43	657	14286
44	667	14165
45	676	14028
46	687	13931
47	697	13828
48	706	13713
49	718	13653
50	727	13546
51	738	13463
52	748	13369
53	756	13258
54	766	13164
55	775	13078
56	786	13008
57	795	12915
58	803	12815
59	812	12728
60	821	12640
61	830	12560
62	838	12476
63	849	12418
64	858	12354
65	867	12280
66	876	12208
67	885	12137
68	894	12071
69	903	12002
70	914	11969
71	924	11919
72	933	11860
73	944	11821
74	954	11770
75	964	11731
76	975	11695
77	986	11658
78	996	11620
79	1005	11565
80	1014	11511
81	1023	11458
82	1031	11401
83	1041	11360
84	1050	11312
85	1060	11275
86	1072	11253
87	1081	11206
88	1090	11166
89	1099	11118
90	1110	11094
91	1123	11093
92	1134	11069
93	1146	11052
94	1158	11035
95	1170	11025
96	1180	10992
97	1192	10972
98	1202	10945
99	1211	10905
100	1221	10872
101	1230	10837
102	1242	10823
103	1252	10786
104	1260	10746
105	1270	10711
106	1279	10681
107	1288	10645
108	1297	10606
109	1307	10576
110	1315	10537
111	1325	10509
112	1334	10474
113	1342	10435
114	1351	10401
115	1360	10365
116	1369	10335
117	1378	10304
118	1387	10274
119	1396	10242
120	1406	10218
121	1415	10186
122	1423	10153
123	1433	10125
124	1442	10094
125	1452	10073
126	1461	10043
127	1472	10029
128	1482	10008
129	1491	9982
130	1501	9962
131	1512	9944
132	1522	9926
133	1533	9908
134	1542	9881
135	1552	9864
136	1562	9845
137	1573	9830
138	1584	9815
139	1594	9797
140	1605	9782
141	1616	9769
142	1626	9748
143	1635	9722
144	1645	9704
145	1655	9684
146	1665	9665
147	1675	9644
148	1685	9627
149	1695	9605
150	1703	9579
151	1711	9549
152	1718	9515
153	1726	9486
154	1734	9457
155	1742	9426
156	1750	9398
157	1757	9367
158	1765	9340
159	1773	9308
160	1782	9288
161	1790	9259
162	1798	9234
163	1805	9204
164	1813	9178
165	1821	9149
166	1829	9126
167	1836	9096
168	1844	9069
169	1852	9043
170	1859	9015
171	1867	8989
172	1875	8967
173	1883	8941
174	1891	8916
175	1899	8890
176	1907	8871
177	1915	8845
178	1923	8822
